CpG Site	P-value	Delta Beta	Beta Ratio	RA	HP	Chrosome	Start	End	Gene	CpG Island	Probe type
cg04381873	1.54E-07	-0.204	0.779	0.720319075	0.92473565	chr19	37760594	37760595	LOC284412	N_Shore	I
cg04382656	4.31E-08	-0.042	0.951	0.818157042	0.860457167	chr11	26745489	26745490	cg04382656	NA	II
cg04395703	9.35E-09	0.068	1.094	0.794670108	0.726366658	chr4	99982762	99982763	METAP1	NA	II
cg04398070	7.71E-09	-0.029	0.801	0.117404717	0.146603092	chr17	11143439	11143440	SHISA6	N_Shore	II
cg04404756	1.87E-07	-0.006	0.155	0.001077541	0.006949817	chr17	60501112	60501113	METTL2A	Island	I
cg04410989	2.45E-08	-0.084	0.797	0.328479325	0.412334167	chr20	35578437	35578438	SAMHD1	N_Shore	II
cg04417788	1.94E-08	-0.005	0.698	0.011264825	0.016139468	chr6	39083037	39083038	C6orf64	Island	I
cg04419680	2.03E-07	0.166	3.791	0.224875308	0.059324647	chrY	16637061	16637062	NLGN4Y	S_Shore	II
cg04436701	2.82E-07	-0.04	0.95	0.767946442	0.808443667	chr1	168344264	168344265	MIR557	NA	II
cg04439376	1.26E-07	-0.021	0.638	0.037335503	0.058484765	chr2	112812130	112812131	TMEM87B	Island	I
cg04450797	4.16E-09	-0.479	0.099	0.052845936	0.531422008	chr8	337367	337368	cg04450797	NA	II
cg04456492	1.94E-07	0.243	1.55	0.685300058	0.442230033	chr7	20010777	20010778	cg04456492	NA	II
cg04467350	9.80E-08	-0.007	0.928	0.092792259	0.100034224	chr22	19434622	19434623	C22orf39	N_Shore	II
cg04471045	8.08E-08	0.023	1.029	0.805121517	0.782561858	chr8	143609379	143609380	BAI1	Island	II
cg04477203	1.16E-07	-0.009	0.88	0.067710998	0.076906619	chr5	141061883	141061884	ARAP3	NA	II
cg04478061	1.12E-07	-0.028	0.969	0.859502725	0.887380033	chr7	24414000	24414001	cg04478061	NA	II
cg04486417	3.03E-07	-0.004	0.114	0.000542909	0.004771445	chr17	685659	685660	GLOD4	Island	I
cg04486506	4.69E-08	-0.003	0.997	0.981579258	0.9848763	chr20	62577863	62577864	UCKL1	S_Shore	I
cg04491871	3.01E-07	0.025	1.028	0.907541217	0.8825594	chr6	27843571	27843572	cg04491871	S_Shelf	II
cg04500239	2.20E-07	-0.017	0.981	0.872794933	0.889694283	chr1	118502178	118502179	WDR3	NA	II
cg04502985	3.43E-07	-0.01	0.823	0.048621549	0.05910302	chr5	77268452	77268453	cg04502985	Island	I
cg04507187	2.72E-07	-0.018	0.811	0.076856369	0.094710613	chr16	19179258	19179259	SYT17	Island	II
cg04516052	8.72E-08	-0.02	0.978	0.899793767	0.919764842	chr6	43552528	43552529	POLH	S_Shelf	II
cg04516112	3.34E-08	-0.041	0.904	0.385906542	0.426801633	chr3	124303404	124303405	KALRN	N_Shore	II
cg04518808	1.45E-08	0.021	1.198	0.126908033	0.10592451	chr19	54384822	54384823	PRKCG	N_Shore	II
cg04523603	1.16E-08	-0.02	0.977	0.823580083	0.843301267	chr1	3622085	3622086	TP73	N_Shore	II
cg04528569	2.93E-07	-0.02	0.977	0.887353083	0.907808475	chr2	197665566	197665567	GTF3C3	S_Shore	II
cg04533302	6.78E-10	0.035	1.038	0.964962083	0.929750958	chrX	79829018	79829019	cg04533302	Island	I
cg04540493	2.17E-08	-0.028	0.967	0.81374785	0.8413088	chr16	47048265	47048266	cg04540493	S_Shore	II
cg04543131	1.82E-07	-0.016	0.983	0.9059744	0.921953782	chr15	67073942	67073943	SMAD6	Island	II
cg04544058	1.59E-07	-0.032	0.962	0.800603933	0.832171383	chr3	13609195	13609196	FBLN2	N_Shelf	II
cg04547244	3.15E-07	0.011	1.156	0.077938352	0.067434231	chr7	25019044	25019045	OSBPL3	Island	I
cg04547488	2.34E-07	-0.01	0.849	0.053766588	0.063297816	chr6	11537185	11537186	TMEM170B	N_Shore	I
cg04550237	1.61E-07	-0.021	0.977	0.89051995	0.911335917	chr2	27362964	27362965	C2orf53	NA	II
cg04555107	1.62E-07	-0.036	0.958	0.817514608	0.853502375	chr14	70130327	70130328	KIAA0247	NA	II
cg04561937	2.70E-08	0.027	1.037	0.77394685	0.746687825	chr22	17443619	17443620	GAB4	NA	II
cg04564030	3.37E-08	-0.026	0.742	0.075740303	0.102069939	chr18	63417392	63417393	CDH7	N_Shore	II
cg04577441	4.76E-10	0.012	3.772	0.015834556	0.004197583	chr4	100870687	100870688	LOC256880	Island	I
cg04587829	6.53E-09	0.04	1.049	0.855590175	0.815466567	chr17	80692947	80692948	FN3K	N_Shore	II
cg04595807	3.01E-08	-0.015	0.981	0.79931115	0.814445208	chr8	145674353	145674354	cg04595807	N_Shore	II
cg04599631	4.68E-09	-0.008	0.66	0.015548908	0.023553476	chr4	84256200	84256201	HPSE	Island	II
cg04610028	2.91E-07	0.386	5.55	0.470371083	0.084748172	chr19	8464538	8464539	RAB11B	N_Shore	II
cg04619304	5.47E-08	-0.014	0.985	0.895008958	0.908758942	chr12	24434537	24434538	SOX5	NA	II
cg04636748	3.24E-07	0.036	1.052	0.73637925	0.700043258	chr15	75117708	75117709	CPLX3	NA	II
cg04649441	3.26E-07	0.033	1.058	0.591973583	0.559424433	chr13	53223253	53223254	cg04649441	N_Shelf	I
cg04649587	5.39E-08	0.496	2.882	0.759716008	0.263599192	chr8	11212812	11212813	TDH	NA	II
cg04649669	1.78E-07	-0.011	0.987	0.864906008	0.876150342	chr5	11239963	11239964	CTNND2	NA	II
cg04658129	1.08E-07	0.019	1.021	0.930428867	0.911142192	chr19	6196127	6196128	cg04658129	N_Shelf	II
cg04660147	1.73E-08	0.038	1.056	0.721641325	0.683390883	chr20	62716443	62716444	OPRL1	Island	II
cg04679072	3.85E-09	-0.012	0.803	0.0474387	0.059098043	chr2	231084941	231084942	SP110	NA	II
cg04685632	2.47E-08	-0.021	0.976	0.864841975	0.8860903	chr20	62082611	62082612	KCNQ2	N_Shore	II
cg04688450	5.38E-09	-0.344	0.442	0.272449583	0.616000992	chr6	32526366	32526367	HLA-DRB6	NA	II
cg04690998	2.27E-07	-0.049	0.866	0.319434642	0.368660617	chr7	2339777	2339778	SNX8	NA	II
cg04704053	2.41E-07	-0.022	0.584	0.030361323	0.052013444	chr19	15090275	15090276	cg04704053	Island	I
cg04705084	1.85E-07	0.022	1.025	0.8710291	0.849507467	chr16	4790463	4790464	C16orf71	Island	II
cg04714497	1.26E-08	-0.023	0.973	0.816815858	0.839537383	chr14	101335129	101335130	MIR493	NA	II
cg04724522	6.39E-08	0.041	1.058	0.749866375	0.70887715	chr1	154644347	154644348	cg04724522	NA	I
cg04726091	2.89E-07	-0.01	0.875	0.073177187	0.083653178	chr4	140216130	140216131	NDUFC1	N_Shore	II
cg04727522	2.13E-07	-0.056	0.912	0.585682217	0.641843892	chr18	77793182	77793183	C18orf22	N_Shore	II
cg04733431	1.17E-07	-0.011	0.6	0.016688941	0.027818856	chr4	39640740	39640741	C4orf34	Island	I
cg04737759	6.14E-08	-0.037	0.953	0.754370167	0.791440742	chr6	155253937	155253938	cg04737759	NA	II
cg04737881	1.66E-07	0.129	1.412	0.442844167	0.313534925	chr4	183060943	183060944	MGC45800	N_Shore	II
cg04748988	8.45E-08	-0.008	0.711	0.019421632	0.02732821	chr3	12329223	12329224	PPARG	Island	I
cg04751549	3.59E-08	0.096	1.186	0.611443067	0.515535308	chr8	144260778	144260779	cg04751549	NA	II
cg04760448	5.41E-08	0.179	1.641	0.457009608	0.278446208	chr21	46890849	46890850	COL18A1	Island	II
cg04761824	1.41E-07	0.014	1.016	0.8804031	0.866859108	chr9	117905075	117905076	cg04761824	NA	II
cg04763192	2.89E-07	-0.008	0.851	0.043073281	0.050613424	chr1	111889241	111889242	C1orf88	Island	II
cg04771109	1.27E-07	-0.012	0.987	0.882213167	0.893968083	chr19	32865061	32865062	ZNF507	NA	II
cg04772086	2.02E-07	-0.009	0.817	0.038372568	0.046982761	chr1	51434994	51434995	CDKN2C	Island	II
cg04774110	1.68E-07	0.018	1.022	0.812974933	0.795384108	chr17	80857351	80857352	TBCD	Island	II
cg04774132	4.32E-08	0.028	1.033	0.855342617	0.827657983	chr6	28482073	28482074	GPX6	NA	II
cg04777551	1.44E-08	-0.459	0.47	0.407014425	0.865828983	chr6	32628953	32628954	HLA-DQB1	N_Shelf	II
cg04779233	2.61E-08	-0.07	0.907	0.686873917	0.756905408	chr7	38215284	38215285	cg04779233	N_Shelf	II
cg04779428	3.30E-07	-0.032	0.95	0.608822608	0.6406222	chr20	57463355	57463356	GNAS	N_Shore	II
cg04785391	1.00E-07	-0.018	0.981	0.890595767	0.908179	chr1	165040606	165040607	cg04785391	NA	II
cg04787602	3.36E-08	-0.032	0.777	0.109978139	0.1415608	chr1	112282986	112282987	C1orf183	Island	I
cg04789747	1.54E-08	-0.013	0.761	0.04258421	0.055935308	chr8	144923557	144923558	NRBP2	Island	I
cg04794465	2.42E-07	-0.017	0.982	0.907244108	0.92377445	chr6	31622326	31622327	APOM	S_Shore	II
cg04800503	1.02E-07	-0.011	0.989	0.964899175	0.975830338	chr17	46648533	46648534	HOXB3	NA	I
cg04819497	5.76E-08	-0.605	0.245	0.19596587	0.800665967	chr11	58598444	58598445	cg04819497	NA	I
cg04835511	2.28E-07	-0.27	0.636	0.471183833	0.741071358	chr1	244140051	244140052	cg04835511	N_Shelf	II
cg04838064	2.55E-07	-0.009	0.579	0.012430803	0.021459012	chr6	57181606	57181607	PRIM2	NA	I
cg04838107	1.77E-07	0.006	1.133	0.053499785	0.047222447	chr14	50359190	50359191	ARF6	N_Shore	II
cg04839849	1.95E-07	-0.023	0.71	0.056601894	0.079673967	chr1	859844	859845	SAMD11	Island	I
cg04843946	1.78E-07	-0.031	0.754	0.094751087	0.12565775	chr6	90348009	90348010	LYRM2	N_Shore	I
cg04844038	2.39E-07	0.05	1.106	0.528714842	0.478224217	chr10	108921320	108921321	SORCS1	N_Shelf	II
cg04846720	3.32E-07	-0.017	0.98	0.828275367	0.8447854	chr14	103295640	103295641	TRAF3	NA	II
cg04849995	1.26E-07	-0.017	0.866	0.110235383	0.12721945	chr17	66016719	66016720	cg04849995	S_Shore	II
cg04851471	2.23E-08	-0.02	0.978	0.890484508	0.910710942	chr5	169237373	169237374	DOCK2	NA	II
cg04873833	7.72E-08	0.064	1.073	0.93755455	0.873682125	chr12	129417818	129417819	GLT1D1	NA	I
cg04875987	2.25E-09	-0.009	0.254	0.002939148	0.011581793	chr17	79981264	79981265	STRA13	Island	I
cg04878745	3.21E-09	-0.072	0.365	0.041139666	0.112754363	chr8	144614425	144614426	ZC3H3	NA	I
cg04881903	2.36E-08	-0.058	0.91	0.58884495	0.646998667	chr2	85637116	85637117	CAPG	N_Shelf	II
cg04886157	6.19E-09	-0.017	0.866	0.108904067	0.125716133	chr16	30380006	30380007	TBC1D10B	N_Shore	II
cg04912712	2.69E-07	-0.024	0.696	0.054287808	0.078050441	chr14	89817982	89817983	FOXN3	NA	II
cg04926280	8.57E-08	0.057	1.083	0.7508038	0.693354633	chr11	2368637	2368638	cg04926280	NA	II
cg04934530	3.49E-08	-0.029	0.964	0.776600225	0.805722983	chr22	47080171	47080172	cg04934530	N_Shore	II
cg04935939	1.17E-07	0.019	1.315	0.081219898	0.061761789	chr10	63661323	63661324	ARID5B	N_Shore	II
cg04936619	2.21E-07	-0.103	0.717	0.260596008	0.363259742	chr17	30658537	30658538	C17orf75	NA	II
cg04937416	2.25E-07	0.012	1.154	0.088849006	0.076985771	chr7	157479272	157479273	PTPRN2	Island	II
cg04951797	2.01E-07	-0.033	0.782	0.11697	0.14954415	chr3	20226964	20226965	SGOL1	N_Shore	II
cg04968806	2.85E-07	0.033	1.083	0.425040633	0.392446642	chr11	20625992	20625993	SLC6A5	S_Shelf	I
cg04976685	3.43E-07	-0.015	0.889	0.12179005	0.136947583	chr17	43449285	43449286	cg04976685	Island	II
cg04985661	1.61E-07	0.017	1.019	0.890128325	0.8733452	chr6	12717192	12717193	PHACTR1	NA	II
cg04988273	9.87E-10	0.062	1.117	0.589024425	0.527218792	chr20	32308529	32308530	PXMP4	S_Shore	II
cg04993257	7.42E-08	0.038	1.085	0.49113875	0.4526403	chr19	5568163	5568164	PLAC2	S_Shore	II
cg05005301	1.55E-07	-0.007	0.663	0.013684706	0.020655343	chr1	110453107	110453108	CSF1	N_Shore	I
cg05006718	3.03E-08	-0.024	0.973	0.8638627	0.887548933	chr13	19756122	19756123	TUBA3C	NA	II
cg05013064	1.09E-07	-0.02	0.594	0.02928778	0.049276716	chr20	55204633	55204634	TFAP2C	Island	I
cg05015185	3.38E-07	-0.011	0.886	0.088320423	0.09969061	chr2	50574624	50574625	NRXN1	Island	II
cg05019854	1.52E-10	-0.019	0.781	0.068056081	0.087106261	chr8	125385504	125385505	TMEM65	S_Shore	II
cg05036715	7.60E-08	-0.131	0.817	0.5818427	0.712434867	chr10	58777720	58777721	cg05036715	NA	II
cg05037488	6.53E-08	0.027	1.214	0.152980058	0.125982475	chr6	33395495	33395496	SYNGAP1	N_Shore	I
cg05051121	3.22E-10	-0.009	0.812	0.038889815	0.047869759	chr3	139062703	139062704	MRPS22	N_Shore	II
cg05059825	1.99E-07	-0.013	0.692	0.029972278	0.043295269	chr11	62495950	62495951	HNRNPUL2	S_Shore	II
cg05060843	1.79E-07	0.008	1.008	0.9379889	0.930422358	chr21	43162018	43162019	RIPK4	S_Shore	I
cg05077108	1.30E-07	0.011	1.012	0.903124167	0.892342642	chr7	157200263	157200264	DNAJB6	N_Shelf	II
cg05083358	3.10E-10	-0.006	0.177	0.001338222	0.007567032	chr7	2394359	2394360	EIF3B	Island	I
cg05091135	1.39E-08	0.067	1.148	0.524444442	0.456962642	chr13	51103373	51103374	cg05091135	NA	II
cg05093686	2.39E-08	-0.036	0.855	0.213188342	0.249486192	chr13	36050788	36050789	MAB21L1	N_Shore	II
cg05119504	7.84E-08	0.015	1.017	0.927286208	0.912070075	chr3	99905910	99905911	TMEM30C	NA	II
cg05125693	5.82E-08	-0.014	0.883	0.103659639	0.11745785	chr10	94051830	94051831	CPEB3	S_Shore	II
cg05138397	2.87E-08	0.078	1.124	0.70942165	0.631023742	chr1	160768549	160768550	LY9	N_Shelf	II
cg05138787	2.81E-07	0.022	1.024	0.916964825	0.8951657	chr5	14405925	14405926	TRIO	NA	II
cg05176146	6.93E-08	-0.009	0.553	0.011199505	0.02025413	chr5	147763541	147763542	FBXO38	Island	I
cg05176970	6.20E-08	0.542	3.176	0.791486658	0.249235967	chr17	724273	724274	NXN	NA	I
cg05186509	1.74E-08	0.017	1.019	0.895438967	0.878501125	chr17	48235891	48235892	cg05186509	N_Shelf	II
cg05202068	3.29E-07	0.022	1.024	0.930707108	0.908777825	chr4	146117505	146117506	cg05202068	NA	I
cg05209483	3.19E-07	-0.069	0.809	0.292466475	0.361730208	chr17	7482986	7482987	CD68	N_Shelf	II
cg05209514	2.08E-07	-0.088	0.827	0.419593483	0.507638025	chr12	69353500	69353501	CPM	NA	II
cg05229340	3.45E-07	0.021	1.025	0.869136542	0.848042358	chr17	63833529	63833530	CCDC46	NA	II
cg05230551	1.32E-07	-0.017	0.981	0.859371083	0.876389642	chr1	12633465	12633466	DHRS3	NA	II
cg05247809	1.23E-07	-0.039	0.867	0.253019925	0.291859942	chr17	66194706	66194707	LOC440461	Island	II
cg05251479	2.26E-07	0.029	1.054	0.556027892	0.527327892	chr6	34232710	34232711	cg05251479	S_Shore	I
cg05256228	7.24E-08	-0.03	0.96	0.725230208	0.755172025	chr19	17320265	17320266	MYO9B	N_Shelf	II
cg05257291	3.24E-07	-0.009	0.886	0.073242063	0.08270549	chr4	1161247	1161248	SPON2	Island	II
cg05261599	1.51E-07	0.012	1.012	0.975620208	0.963982942	chr2	241230286	241230287	cg05261599	NA	I
cg05264214	1.70E-07	-0.011	0.988	0.965312433	0.976638333	chr18	77181423	77181424	NFATC1	S_Shore	I
cg05276243	3.44E-07	-0.009	0.792	0.035979453	0.045433495	chr16	56764314	56764315	NUP93	Island	II
cg05284724	1.48E-07	-0.01	0.848	0.055715285	0.065706061	chr7	138818658	138818659	TTC26	S_Shore	II
cg05285677	2.29E-07	0.014	1.016	0.870724808	0.856837933	chr13	113105897	113105898	cg05285677	N_Shore	II
cg05291508	1.06E-07	-0.016	0.772	0.053952309	0.069922181	chr10	124892233	124892234	cg05291508	N_Shore	II
cg05293990	3.25E-07	0.009	1.009	0.955905267	0.946969208	chr16	88070132	88070133	BANP	NA	I
cg05295685	1.86E-07	-0.006	0.85	0.032926658	0.038726228	chr5	138677941	138677942	PAIP2	Island	II
cg05296773	1.73E-08	-0.018	0.98	0.875612008	0.8936792	chr12	93449339	93449340	cg05296773	NA	II
cg05299048	1.16E-07	-0.015	0.981	0.769042758	0.784325917	chr3	52828583	52828584	ITIH3	NA	II
cg05306153	8.88E-08	-0.028	0.638	0.049791384	0.078034903	chr1	55416414	55416415	cg05306153	NA	I
cg05307752	1.26E-08	-0.083	0.818	0.372093158	0.455046308	chr2	144462886	144462887	ARHGAP15	NA	II
cg05320259	2.21E-07	-0.008	0.791	0.030668858	0.038780231	chr20	25370897	25370898	ABHD12	Island	II
cg05331763	3.30E-07	-0.491	0.443	0.389465857	0.880034467	chr17	80535367	80535368	FOXK2	S_Shore	II
cg05332483	1.91E-07	-0.058	0.725	0.152964275	0.2108784	chr10	130959684	130959685	cg05332483	NA	II
cg05340438	2.88E-08	-0.021	0.976	0.861295308	0.882767383	chr19	54825287	54825288	LILRA5	NA	II
cg05343811	2.60E-07	-0.062	0.711	0.151544942	0.213263925	chr14	75590896	75590897	NEK9	N_Shelf	I
cg05360402	3.08E-07	-0.01	0.809	0.043436427	0.053678054	chr5	110848191	110848192	STARD4	Island	II
cg05369142	2.44E-08	-0.005	0.642	0.008740141	0.013614353	chr3	46735009	46735010	ALS2CL	Island	I
cg05369547	2.76E-07	-0.023	0.974	0.865200183	0.888697317	chr11	128680333	128680334	FLI1	Island	II
cg05378013	1.86E-10	-0.027	0.971	0.912051417	0.939060425	chr3	126158866	126158867	ZXDC	NA	I
cg05392737	1.19E-07	-0.035	0.677	0.073041627	0.107955786	chr1	179784720	179784721	FAM163A	NA	II
cg05393861	2.05E-07	-0.302	0.587	0.42842685	0.730468808	chr3	52828628	52828629	ITIH3	NA	II
cg05397202	8.10E-09	-0.065	0.882	0.486002475	0.550819792	chr1	1245040	1245041	PUSL1	Island	II
cg05404459	1.20E-07	0.06	1.091	0.711765567	0.652247342	chr2	8802585	8802586	cg05404459	NA	II
cg05418719	1.80E-07	0.08	1.251	0.400675908	0.32017955	chr17	54676595	54676596	cg05418719	S_Shore	II
cg05419812	4.16E-09	0.121	5.947	0.145699403	0.024498596	chr6	31276437	31276438	cg05419812	Island	I
cg05420896	2.80E-07	0.029	1.207	0.1714979	0.142109867	chr18	49867488	49867489	DCC	N_Shore	II
cg05432305	2.70E-07	-0.01	0.798	0.03853492	0.048319412	chr3	33840003	33840004	PDCD6IP	Island	II
cg05434863	3.31E-07	0.018	1.461	0.056339929	0.038551242	chr6	29600206	29600207	GABBR1	Island	I
cg05480260	9.91E-08	0.011	1.012	0.965256108	0.954047892	chr16	86575754	86575755	MTHFSD	NA	I
cg05486260	2.37E-07	-0.055	0.926	0.686949267	0.741527583	chr8	139206451	139206452	FAM135B	NA	II
cg05492839	3.13E-08	0.012	1.544	0.035357903	0.022894018	chr6	80657430	80657431	ELOVL4	Island	I
cg05500734	1.99E-07	-0.06	0.891	0.490172917	0.550295	chr7	73437649	73437650	cg05500734	NA	II
cg05502645	7.26E-08	0.014	1.017	0.851293308	0.836933633	chr19	1971281	1971282	CSNK1G2	S_Shore	II
cg05502662	1.35E-08	-0.007	0.199	0.001619287	0.008147897	chr15	60771317	60771318	NARG2	Island	I
cg05514971	5.09E-09	-0.061	0.887	0.476271408	0.537191167	chr9	130329588	130329589	FAM129B	N_Shore	II
cg05521717	1.88E-07	0.013	1.015	0.897431225	0.884357	chr6	166826097	166826098	RPS6KA2	Island	II
cg05521792	1.58E-08	-0.035	0.645	0.062978148	0.097585528	chr10	49731678	49731679	ARHGAP22	Island	I
cg05527609	1.58E-08	-0.008	0.654	0.015091488	0.023082698	chr1	210001259	210001260	C1orf107	Island	I
cg05536457	2.84E-07	-0.018	0.979	0.807332858	0.825048125	chr7	906040	906041	UNC84A	S_Shore	II
cg05536644	4.66E-08	-0.025	0.971	0.857650667	0.883072125	chr16	723900	723901	RHOT2	S_Shelf	II
cg05550861	1.20E-07	-0.032	0.793	0.124059608	0.156428158	chr4	120222222	120222223	C4orf3	S_Shore	II
cg05553452	2.94E-07	-0.015	0.983	0.909812958	0.925283325	chr3	5254757	5254758	EDEM1	NA	II
cg05559398	2.87E-08	0.016	1.022	0.748459825	0.732467642	chr11	129685425	129685426	TMEM45B	N_Shore	II
cg05560697	2.73E-07	-0.046	0.686	0.101714628	0.148198683	chr5	141392853	141392854	GNPDA1	S_Shore	I
cg05562851	2.77E-07	-0.021	0.833	0.104204612	0.125145292	chr12	121151805	121151806	UNC119B	S_Shelf	II
cg05565442	9.02E-08	-0.485	0.194	0.116421956	0.6009325	chr12	58011856	58011857	cg05565442	N_Shore	II
cg05565863	2.35E-07	0.023	1.027	0.890146592	0.867099358	chr6	83478050	83478051	cg05565863	NA	II
cg05566777	4.30E-10	0.03	1.036	0.863232308	0.833469175	chr16	74782640	74782641	FA2H	NA	II
cg05568678	1.92E-08	-0.013	0.629	0.021827915	0.03471772	chr17	9549346	9549347	USP43	Island	I
cg05570109	1.40E-12	-0.215	0.737	0.602532483	0.817516317	chr2	39812572	39812573	cg05570109	NA	I
cg05572584	3.21E-07	-0.027	0.952	0.537889892	0.5647958	chr16	85776216	85776217	MIR1910	NA	II
cg05578989	1.13E-07	-0.012	0.711	0.029136608	0.041003927	chr8	61193970	61193971	CA8	Island	I
cg05584166	5.34E-08	-0.006	0.186	0.001293654	0.006973623	chr8	145582547	145582548	GPR172A	Island	I
cg05586384	2.62E-08	-0.03	0.636	0.052563709	0.082691921	chr10	64005030	64005031	RTKN2	NA	II
cg05591235	1.03E-07	-0.014	0.984	0.871546858	0.885775275	chr1	6405672	6405673	ACOT7	NA	II
cg05601456	2.78E-07	-0.08	0.781	0.283420667	0.362945467	chr4	114900431	114900432	ARSJ	Island	I
cg05614072	4.12E-08	-0.034	0.782	0.120136333	0.153655033	chr2	30489411	30489412	cg05614072	NA	II
cg05620865	1.66E-07	-0.024	0.973	0.868302658	0.8922632	chr5	77588408	77588409	AP3B1	N_Shore	II
cg05634255	4.85E-08	0.023	1.032	0.737818267	0.7149579	chr4	138864033	138864034	cg05634255	NA	II
cg05635276	5.12E-08	-0.006	0.762	0.019729698	0.025897931	chr22	43485582	43485583	TTLL1	S_Shore	I
cg05638594	2.40E-07	-0.015	0.983	0.878099142	0.892892158	chr13	113552563	113552564	cg05638594	Island	II
cg05640318	1.73E-07	0.026	1.048	0.565860083	0.539807692	chr7	99742222	99742223	cg05640318	NA	II
cg05649229	1.03E-07	0.008	1.264	0.038512117	0.030460872	chr6	31620952	31620953	BAT3	Island	II
cg05653400	4.29E-08	-0.008	0.846	0.043162575	0.051012203	chr10	113943887	113943888	GPAM	S_Shore	II
cg05654289	3.41E-07	-0.026	0.833	0.130780633	0.156962625	chr17	66201647	66201648	cg05654289	Island	II
cg05660436	1.68E-08	-0.017	0.557	0.02113339	0.037954085	chr1	33358957	33358958	HPCA	Island	I
cg05668342	2.55E-07	0.04	1.168	0.276765958	0.236943667	chr16	1340422	1340423	cg05668342	NA	II
cg05671791	1.13E-08	0.005	8.064	0.005998349	0.000743798	chr16	89574615	89574616	SPG7	Island	I
cg05692837	7.45E-08	-0.01	0.838	0.049625665	0.059224332	chr12	49583094	49583095	TUBA1A	S_Shore	II
cg05693864	1.13E-07	-0.053	0.941	0.8478026	0.901181625	chr5	844184	844185	ZDHHC11	S_Shore	I
cg05697969	2.87E-07	-0.01	0.84	0.053784066	0.064024961	chr19	590413	590414	HCN2	Island	I
cg05700348	2.55E-07	-0.022	0.973	0.767633592	0.789154542	chr5	176948150	176948151	FAM193B	S_Shelf	II
cg05701274	4.68E-08	-0.02	0.977	0.875786392	0.8960714	chr1	228406416	228406417	OBSCN	S_Shore	II
cg05706117	8.74E-08	-0.02	0.841	0.106960337	0.127168175	chr5	38258451	38258452	EGFLAM	Island	I
cg05708441	6.19E-18	-0.853	0.045	0.040088521	0.893184533	chr2	132186821	132186822	cg05708441	S_Shelf	II
cg05708629	1.67E-07	-0.014	0.983	0.839905917	0.854021958	chr1	7707865	7707866	CAMTA1	NA	I
cg05731021	3.37E-07	-0.01	0.059	0.00061097	0.010406948	chr7	32930798	32930799	KBTBD2	Island	I
cg05740668	4.82E-08	-0.033	0.959	0.777345525	0.810502167	chr2	132203203	132203204	LOC401010	Island	I
cg05746407	2.60E-07	-0.01	0.512	0.010136859	0.01978319	chr16	85646856	85646857	KIAA0182	Island	I
cg05755239	3.68E-09	0.026	1.535	0.075417888	0.04914693	chr4	166128480	166128481	KLHL2	Island	I
cg05757385	1.89E-07	-0.007	0.891	0.056111782	0.062944683	chr7	86782435	86782436	DMTF1	S_Shore	II
cg05761277	2.82E-08	-0.008	0.893	0.064417513	0.072171799	chr17	76356738	76356739	SOCS3	Island	II
cg05770171	2.87E-07	0.028	1.034	0.837945483	0.810225458	chr9	104147168	104147169	BAAT	NA	II
cg05775779	5.41E-08	-0.022	0.975	0.841930125	0.8637113	chr9	139905765	139905766	ABCA2	N_Shore	II
cg05778415	2.47E-07	-0.016	0.793	0.061939123	0.078137199	chr2	75185968	75185969	POLE4	Island	I
cg05781512	2.00E-08	0.016	1.018	0.932222517	0.915876067	chr1	6171680	6171681	CHD5	NA	II
cg05786381	2.40E-07	-0.562	0.33	0.276856875	0.839060683	chr4	1677882	1677883	FAM53A	NA	II
cg05797333	6.09E-08	-0.007	0.821	0.030336997	0.036963984	chr2	70142066	70142067	MXD1	Island	II
cg05801338	8.18E-08	0.008	6.503	0.009107213	0.001400471	chr6	79788076	79788077	PHIP	Island	I
cg05801872	1.46E-08	0.011	1.012	0.894384492	0.883677092	chr6	14282715	14282716	cg05801872	NA	II
cg05809174	1.39E-07	0.006	2.221	0.011824952	0.005325161	chr6	10723406	10723407	TMEM14C	Island	I
cg05809947	5.20E-08	0.016	1.022	0.769471583	0.753228817	chr21	44591013	44591014	CRYAA	N_Shore	II
cg05827943	2.12E-07	-0.013	0.814	0.054896476	0.067437301	chr7	26241126	26241127	HNRNPA2B1	Island	I
cg05828992	1.76E-07	-0.042	0.952	0.840549042	0.882873575	chr7	140732689	140732690	cg05828992	NA	I
cg05829424	1.30E-07	-0.01	0.989	0.891905792	0.902164392	chr19	6496362	6496363	TUBB4	S_Shore	II
cg05837683	3.65E-08	-0.052	0.932	0.707936508	0.759792517	chr11	8038523	8038524	cg05837683	N_Shore	II
cg05844321	8.10E-08	0.055	1.086	0.690404775	0.635774967	chr3	13663398	13663399	FBLN2	NA	II
cg05844402	2.31E-08	-0.051	0.922	0.594805783	0.645422	chr22	50531970	50531971	MOV10L1	S_Shelf	I
cg05849772	3.12E-07	0.063	1.248	0.317898642	0.254634267	chr16	303182	303183	ITFG3	NA	I
cg05868445	1.30E-09	-0.03	0.757	0.092982194	0.122772058	chr2	45182417	45182418	cg05868445	Island	I
cg05869007	1.22E-07	-0.004	0.222	0.00124033	0.005587231	chr4	166129003	166129004	KLHL2	Island	I
cg05869173	5.84E-08	-0.01	0.743	0.028813135	0.03875993	chr7	99613192	99613193	ZKSCAN1	Island	I
cg05875176	1.79E-08	-0.023	0.974	0.848071058	0.871017483	chr17	66594586	66594587	FAM20A	N_Shore	II
