	R2.ESC.hapinfo.txt	R2.ipsNT.hapinfo.txt	R2.tissue.hapinfo.txt	Pvalue
chr8:119728397-119728448	0.345	0.22	0.032	1.89716986376322e-60
chr8:119934910-119934920	0.554	0.419	0.557	6.42606043200279e-23
chr8:119947342-119947352	0.38	1	0.704	2.21485796405515e-103
chr8:120027514-120027751	0.517	0.681	0.201	2.64167121811845e-26
chr8:120134639-120134655	0.605	0.216	0.085	1.04841011074029e-100
chr8:120136825-120136836	0.609	0.4	0.018	6.07110833562131e-138
chr8:120158743-120158751	0.663	0.001	0.054	9.40693328827895e-93
chr8:120158768-120158832	0.648	0.052	0.05	1.19578890164871e-89
chr8:120160418-120160593	0.589	0.356	NA	2.90071271414299e-09
chr8:120238938-120238996	0.563	0.157	0.553	2.41166021918794e-50
chr8:120267699-120267726	0.659	0.085	0.078	2.01034219782423e-74
chr8:12030819-12030848	0.573	0.097	0.646	1.28465127005767e-131
chr8:120371487-120371499	0.803	0.433	0.084	3.50237045291503e-104
chr8:120378395-120378422	0.663	0.308	0.218	4.343648964148e-80
chr8:120580826-120580987	0.753	0.238	0.331	6.68583030153762e-55
chr8:12061284-12061392	0.696	0.477	0.398	1.69351871318655e-25
chr8:120837605-120837619	0.584	0.085	0.612	9.24693221258627e-126
chr8:120882727-120882773	0.572	0.415	0.027	1.16864821046681e-74
chr8:120976278-120976394	0.504	0.432	0.285	8.75619888940235e-40
chr8:121225723-121225734	0.533	0.139	0.573	4.26426507029322e-82
chr8:121345008-121345019	0.683	0.055	0.383	5.58066617081952e-129
chr8:121608719-121608898	0.662	0.371	0.264	2.04809987692419e-44
chr8:121926322-121926379	0.559	0.213	0.259	3.84457479468313e-16
chr8:122009289-122009413	0.622	0.327	0.069	3.67106001634979e-61
chr8:122039504-122039521	0.126	0.346	0.037	3.39590271518165e-28
chr8:122039527-122039586	0.147	0.263	0.024	3.47917764839806e-26
chr8:122071085-122071120	0.476	0.451	0.459	0.0673814839431348
chr8:122090059-122090074	0.158	0.12	0.408	8.49241538078911e-51
chr8:122090140-122090184	0.4	0.111	0.43	7.75100792113915e-40
chr8:122126461-122126480	0.522	NA	0.064	1.50187489544707e-49
chr8:122292215-122292226	0.571	0.287	0.271	2.53744736866506e-21
chr8:122350150-122350333	0.495	0.267	0.532	5.70825737990897e-08
chr8:122481225-122481363	0.769	NA	0.319	1.45898739260086e-16
chr8:123018864-123018939	0.539	0.114	0.572	3.77582378743064e-112
chr8:123020579-123020626	0.63	0.385	0.232	5.91119460666985e-63
chr8:123020698-123020724	0.581	0.255	0.001	3.41894900405148e-114
chr8:123033339-123033382	0.383	0.081	0.41	4.11537630889059e-35
chr8:123037824-123037851	0.159	0.072	0.515	2.5400843420024e-72
chr8:123045242-123045293	0.212	0.146	0.482	5.66039929281784e-22
chr8:12305059-12305154	0.871	0.134	0.041	5.10551966099413e-130
chr8:123091802-123091814	0.409	0.14	0.04	3.96648932260994e-55
chr8:123150560-123150620	0.346	0.555	0.101	1.36586453271912e-46
chr8:123155590-123155609	0.231	0.183	0.287	6.68271998448739e-08
chr8:123181920-123181968	0.47	0.411	0.239	1.08274132492814e-26
chr8:123263623-123263654	0.544	0.081	0.739	4.70955746015585e-168
chr8:12331150-12331157	0.626	0.224	0.464	6.59184878128586e-69
chr8:123419697-123419707	0.601	0.146	0.359	8.13510175609262e-92
chr8:123472791-123472806	0.455	0.224	0.617	1.96775986347561e-49
chr8:123595427-123595444	0.512	0.186	0.14	4.12194487254374e-51
chr8:123904185-123904402	0.456	0.334	0.052	2.95002491271495e-85
chr8:123978790-123978803	0.642	0.372	0.22	4.31642411375051e-55
chr8:124065710-124065739	0.598	0.464	0.161	2.47892660596918e-68
chr8:124065902-124065930	0.68	0.381	0.139	3.38352145186211e-139
chr8:124094557-124094590	0.276	0.06	0.441	5.26964094479355e-48
chr8:124094676-124094718	0.298	0.186	0.442	1.0774253695611e-18
chr8:124094745-124094788	0.15	0.042	0.473	2.04662691707746e-25
chr8:124094810-124094842	0.299	0.202	0.391	0.0749329118901864
chr8:124094864-124094915	0.54	0.158	0.078	1.10153123734611e-75
chr8:124159031-124159085	0.523	NA	0.217	3.54682576992178e-24
chr8:124333211-124333330	0.682	0.806	0.08	1.29094405923946e-94
chr8:12438848-12438865	0.518	0.221	0.068	8.83120991211648e-81
chr8:12440337-12440350	0.771	0.105	0.063	2.21317556350946e-188
chr8:124410448-124410469	0.576	0.268	0.035	1.73046009387704e-95
chr8:124446045-124446055	0.61	0.111	0.464	6.9201531255239e-79
chr8:124497852-124497890	0.186	0.607	0.08	6.65092477796292e-103
chr8:124497897-124497905	0.265	1	0.245	5.82174174864043e-84
chr8:124497913-124497927	0.198	0.415	0.409	8.98344265793648e-43
chr8:124497953-124497962	0.213	0.302	0.07	1.63800715077002e-37
chr8:124497965-124497981	0.246	0.05	0.18	0.0517533448206739
chr8:12463060-12463114	0.482	0.362	0.511	0.000111249702629095
chr8:124810967-124810983	0.628	0.134	0.669	1.21576851098377e-133
chr8:12484792-12484896	0.736	0.092	0.167	5.44117703748343e-80
chr8:124859824-124859874	0.041	0.065	0.672	8.16995199131071e-156
chr8:124859930-124859948	1	0.002	0.609	5.25192782753757e-125
chr8:124859955-124859978	0.093	0.001	0.591	1.91449895338368e-33
chr8:124860025-124860051	0	NA	0.589	5.97550014351002e-111
chr8:124860071-124860102	NA	NA	0.428	NA
chr8:124860109-124860226	0.007	0.307	0.673	7.61136582479248e-86
chr8:124860248-124860295	0	0.527	0.567	2.04787356845358e-56
chr8:124860303-124860312	NA	0.001	0.45	8.310943710028e-44
chr8:124860330-124860376	0.149	0.686	0.514	2.10876151490728e-17
chr8:124860450-124860487	NA	0.514	0.516	0.0761869447252088
chr8:124860502-124860529	0	0.673	0.497	5.1666507724951e-30
chr8:124860551-124860626	0.042	0.053	0.533	9.01974207044262e-65
chr8:124860682-124860695	0.082	0.004	0.487	5.16395139696434e-96
chr8:124860723-124860745	0	0.364	0.378	2.29670575566768e-36
chr8:124860811-124860836	0.023	0.017	0.293	3.34234392612127e-84
chr8:124860859-124860892	0.003	0.053	0.236	8.64100417530503e-44
chr8:124860900-124860929	0.045	0.073	0.077	6.37321410487113e-09
chr8:125088785-125088841	0.6	0.54	0.29	4.61498350124744e-68
chr8:125089294-125089346	0.476	0.264	0.049	1.01948852204463e-63
chr8:125180066-125180087	0.404	0.063	0.731	6.41685959061783e-135
chr8:125389043-125389054	0.368	0.405	0.75	4.14474619955629e-56
chr8:12541886-12542045	0.669	0.161	0.223	1.19887495581773e-52
chr8:125507238-125507242	0.533	0.023	0.743	1.47800603280842e-108
chr8:125748849-125748886	0.888	NA	NA	NA
chr8:125751342-125751369	0.595	0.087	0.082	3.64904761445193e-37
chr8:125865374-125865420	0.271	0.52	0.49	7.53722676302448e-22
chr8:125978155-125978214	0.437	0.8	0.097	5.95475610707109e-80
chr8:125978281-125978368	0.49	0.521	0.26	8.45660263982109e-34
chr8:125978370-125978414	0.463	0.136	0.303	1.9815707253178e-11
chr8:126187558-126187583	0.608	NA	0.075	1.49265208786975e-78
chr8:126377748-126377795	0.55	0.417	0.276	4.62798676600996e-20
chr8:126377828-126377847	0.626	NA	0.023	5.4342706035811e-108
chr8:126427261-126427267	0.545	0.073	0.042	3.12390835998557e-75
chr8:126521306-126521374	0.626	NA	0.424	8.39923861222158e-22
chr8:126594503-126594522	0.486	0.186	0.395	2.40658087700508e-42
chr8:126794680-126794688	0.627	0.204	0.418	6.38829138119861e-44
chr8:126795667-126795678	0.66	0.305	0.5	6.78006456085349e-65
chr8:126832540-126832556	0.571	0.251	0.472	8.45393394176436e-19
chr8:126887316-126887330	0.767	0.397	0.002	2.16272632863489e-167
chr8:127059385-127059567	0.497	0.429	0.248	3.25818331316882e-22
chr8:127157138-127157152	0.633	0.026	0.529	9.26357960195345e-135
chr8:127316763-127316791	1	NA	NA	NA
chr8:127727061-127727076	0.778	0.332	0.259	7.68717456265331e-110
chr8:127742397-127742413	0.627	0.317	0.551	8.91373361747078e-49
chr8:127749226-127749262	0.645	0.391	0.128	2.95330407203449e-122
chr8:127751202-127751222	0.671	0.247	0.428	2.90063872139093e-47
chr8:127760261-127760363	0.727	0.302	0.56	4.94612846384446e-89
chr8:127764547-127764564	0.62	0.177	0.402	1.50135615419612e-37
chr8:127816016-127816035	0.654	0.12	0.49	9.22280125020586e-126
chr8:127861654-127861789	0.714	0.254	0.362	3.72782674090117e-104
chr8:127915219-127915235	0.661	0.262	0.562	1.54675241104371e-77
chr8:127969218-127969349	0.647	0.105	0.543	9.94114747308952e-86
chr8:127984605-127984616	0.514	0.165	0.263	2.57370700584883e-36
chr8:127997430-127997453	0.716	0.057	0.209	9.34921956214799e-98
chr8:127998767-127998808	0.624	0.15	0.521	2.04731471587898e-107
chr8:128000285-128000390	0.755	0.32	0.144	4.91627313514686e-81
chr8:128000619-128000743	0.717	0.249	0.103	6.78223744871896e-84
chr8:128127656-128127736	0.809	0.126	0.032	1.2043940183725e-171
chr8:128186437-128186615	0.647	0.354	0.497	5.28416140182313e-15
chr8:128369419-128369452	0.637	0.238	0.365	9.61281028584781e-59
chr8:128458905-128458919	0.629	0.268	0.29	2.40104280321704e-55
chr8:128458945-128458956	0.79	0.404	0.209	2.9908779241338e-84
chr8:128539392-128539644	0.866	0.881	0.118	5.48230880390665e-68
chr8:128549321-128549335	0.522	0.163	0.445	1.34419152616833e-19
chr8:12869589-12869728	0.577	0.494	0.122	2.98623823316165e-58
chr8:12875682-12875836	0.694	0.327	0.553	3.35809608645485e-15
chr8:128845052-128845072	0.598	0.202	0.096	4.13744842442987e-74
chr8:129048340-129048346	0.478	0.207	0.571	1.2058455503976e-27
chr8:129048757-129048772	0.512	0.159	0.754	4.8316004936255e-112
chr8:129117699-129117703	1	NA	NA	NA
chr8:129117731-129117750	0.586	NA	NA	NA
chr8:129129854-129129863	0.498	0.559	0.523	1.15551545224133e-09
chr8:129253042-129253242	0.878	0.284	0.446	1.12793119016253e-37
chr8:12931773-12931809	0.646	0.168	0.498	8.08333360969034e-46
chr8:129322086-129322103	0.632	0.093	0.524	1.31872318291639e-152
chr8:12932335-12932498	0.865	0.114	0.322	1.97487110206849e-92
chr8:129343755-129343771	0.665	0.179	0.276	3.98072152200823e-82
chr8:129641218-129641234	0.772	0.09	0.378	6.52232367244819e-148
chr8:129658031-129658039	0.596	0.219	0.595	2.35894810589006e-41
chr8:129776205-129776257	0.604	0.37	0.18	3.44730558631971e-28
chr8:129877079-129877087	0.773	0.294	0.07	1.19629215679378e-88
chr8:129959886-129959955	0.406	0.434	0.106	5.16206873584853e-38
chr8:129975363-129975390	0.717	0.05	0.05	6.40966156563835e-184
chr8:130023765-130023793	0.594	0.055	0.589	7.52328760910967e-122
chr8:130023888-130023916	0.663	0.228	0.523	7.14721553031863e-41
chr8:130126977-130127021	0.671	0.105	0.581	5.15261790544723e-115
chr8:13136814-13136868	0.708	0.166	0.003	1.23058257071745e-95
chr8:13516211-13516227	0.517	0.175	0.544	4.03170898159212e-28
chr8:13630960-13631220	0.812	0.294	0.479	7.61550388658157e-58
chr8:13660334-13660354	0.688	0.217	0.199	1.05792652858928e-52
chr8:13977769-13977776	0.698	0.223	0.423	5.75166453772912e-96
chr8:14017148-14017383	0.738	0.406	0.123	7.29411922870126e-18
chr8:14033444-14033503	0.643	0.105	0.092	6.30441953149316e-50
chr8:14044080-14044228	0.692	0.185	0.117	2.09709541703786e-63
chr8:14047032-14047040	0.64	0.132	0.227	1.02554306653739e-107
chr8:14136252-14136259	0.439	NA	0.135	1.12345009644431e-11
chr8:14675757-14675904	0.616	0.345	0.509	4.15078371067344e-12
chr8:14921031-14921049	0.684	0.174	0.448	3.01784852538062e-87
chr8:14962547-14962558	0.674	0.291	0.141	5.25265642191205e-81
chr8:14975639-14975656	0.464	0.13	0.253	1.14545352539378e-23
chr8:14992856-14992868	0.433	0.234	0.644	3.94157574763338e-34
chr8:14992979-14992988	0.647	0.2	0.547	7.62876054158751e-45
chr8:15842057-15842186	0.849	0.642	0.021	2.65829624744328e-103
chr8:15999141-15999319	0.639	0.224	0.378	7.57294151661706e-21
chr8:18598596-18598786	0.62	0.422	NA	1.04085950492374e-16
chr8:18712679-18712692	0.568	0.064	0.362	1.13388984496495e-83
chr8:18738874-18738912	0.557	0.069	0.256	1.76604712623909e-60
chr8:18767911-18767928	0.58	0.058	0.645	5.50183866071314e-196
chr8:18767942-18767955	0.672	0.086	0.534	1.33685664741551e-147
chr8:18768126-18768192	0.653	0.108	0.472	4.924522874125e-53
chr8:18868948-18868982	0.573	0.067	0.021	5.55624729630977e-102
chr8:18869567-18869653	0.608	0.195	0.008	6.65759490402214e-94
chr8:18946354-18946376	0.374	0.179	0.076	3.65844049538695e-52
chr8:19784913-19784928	0.011	0.001	0.563	1.08669080562889e-120
chr8:19785142-19785153	0.266	0.001	0.534	9.04708809062176e-36
chr8:19785184-19785206	NA	NA	0.71	NA
chr8:19876949-19876953	0.635	0.021	0.734	4.55415439584444e-121
chr8:19877006-19877266	0.673	NA	0.087	6.63645396017092e-100
chr8:20019836-20019862	0.02	NA	0.613	2.68249023953271e-95
chr8:20019982-20019994	0.749	NA	0.638	0.0060617334805795
chr8:20020018-20020026	0.331	NA	0.835	1.7365867323983e-24
chr8:20020100-20020111	NA	NA	0.562	NA
chr8:23073349-23073447	0.914	0.058	0.179	4.44918353934896e-150
chr8:23353723-23353870	0.829	0.171	0.188	2.34196896349934e-115
chr8:23535051-23535062	0.383	0.349	0.169	2.18531984262181e-44
chr8:23620081-23620112	0.618	0.117	0.148	2.09784858664081e-100
chr8:23620147-23620164	0.693	0.11	0.159	1.63066965438055e-138
chr8:23645252-23645360	0.617	0.445	0.413	6.40385794148618e-20
chr8:23645394-23645556	0.609	0.248	0.34	3.60204055395375e-26
chr8:23648669-23648855	0.46	0.444	0.009	9.78920608653925e-61
chr8:23779371-23779388	0.324	0.229	0.042	5.04816203149235e-21
chr8:23779521-23779577	0.281	0.261	0.115	5.84138905528399e-27
chr8:23779671-23779687	0.361	0.169	0.09	4.09516475582922e-59
chr8:23982514-23982542	0.38	0.295	0.411	4.00328333921191e-13
chr8:23999329-23999557	0.594	0.154	0.684	8.62573425075325e-73
chr8:24271961-24271970	0.336	0.544	0.113	6.16003665608096e-74
chr8:24276777-24276804	0.614	0.565	0.195	2.45204580534916e-80
chr8:24300105-24300122	0.507	0.513	0.07	4.2952168837748e-82
chr8:24302085-24302313	0.516	0.582	0.546	1.07848208312769e-13
chr8:24337420-24337456	0.723	0.04	0.005	1.22358084655547e-151
chr8:24534773-24534781	0.528	0.292	0.363	8.75383032339998e-27
chr8:24536849-24536999	0.584	0.469	0.143	6.77716564945848e-64
chr8:25156699-25156758	0.458	0.46	0.056	3.69728551276093e-54
chr8:25348431-25348541	0.585	0.326	0.269	4.86949260909132e-26
chr8:25606446-25606572	0.65	0.245	0.233	2.21114185116444e-67
chr8:25668847-25668884	0.68	0.422	0.11	1.34309188433562e-89
chr8:25685388-25685418	0.668	0.153	0.413	3.30913499430946e-101
chr8:26059432-26059469	0.276	0.267	0.55	1.41148711162168e-38
chr8:26564756-26564774	0.421	0.225	0.164	0.249678737004745
chr8:26862546-26862558	0.521	0.28	0.337	1.59183122655329e-31
chr8:26862595-26862647	0.658	0.215	0.119	5.02781885934521e-89
chr8:26862658-26862689	0.518	0.196	0.04	6.05671586675198e-105
chr8:26879951-26879961	0.526	0.122	0.506	1.37519228976399e-68
chr8:26944841-26944979	0.468	0.211	0.106	4.87991103303367e-38
chr8:26956593-26956623	0.497	0.398	0.13	7.1318737759643e-61
chr8:26957682-26957692	0.505	0.136	0.434	3.00099231474849e-53
chr8:27065244-27065451	0.614	0.321	0.177	2.75086879631606e-45
chr8:27096790-27096849	0.214	0.098	0.036	5.47873751683306e-44
chr8:27096923-27096943	0.246	0.021	0.085	4.18950372159124e-49
chr8:27277946-27277977	0.619	0.245	0.575	5.75657773208977e-38
chr8:27858237-27858277	0.563	0.159	0.45	2.14292796715695e-19
chr8:27941482-27941537	0.459	0.31	0.159	5.34149888386789e-16
chr8:27951923-27951953	0.548	0.17	0.622	1.14051160528802e-108
chr8:27959481-27959487	0.416	0.547	0.591	4.56707876539493e-17
chr8:27961382-27961421	0.576	0.084	0.44	2.87507601406535e-64
chr8:27990930-27990976	0.654	0.255	0.472	1.01064803685438e-42
chr8:28142711-28142986	0.867	0.367	0.227	1.68199440467453e-43
chr8:28231703-28231755	0.082	0.059	0.195	2.44972286060522e-07
chr8:28231869-28231939	0.691	0.197	0.165	8.80390777256924e-06
chr8:28232100-28232143	0.183	0.086	0.158	0.00430078718921658
chr8:28232263-28232268	0.37	0.111	0.084	2.87470226635438e-32
chr8:28266888-28266911	0.643	0.382	0.073	2.040167895777e-95
chr8:28266926-28267012	0.693	0.338	0.029	1.48882651664004e-160
chr8:28464186-28464404	0.903	NA	0.275	8.09191840354328e-75
chr8:28877983-28878226	0.692	0.729	0.382	2.34318324546967e-30
chr8:29803479-29803604	0.628	0.542	0.501	5.8337692302734e-33
chr8:32277138-32277146	0.67	0.181	0.035	6.89750304659915e-143
chr8:33070800-33071000	0.628	0.093	0.175	2.17008087582347e-87
chr8:3392934-3393011	NA	0	0.81	3.20708888936151e-106
chr8:3393017-3393045	0	0	0.964	8.09138598977032e-237
chr8:3393097-3393138	NA	0.017	0.816	3.75986350879281e-95
chr8:3393308-3393317	NA	0.001	0.76	9.31806499522118e-71
chr8:3393474-3393522	NA	0.046	0.608	2.36066835232411e-83
chr8:3393552-3393604	0.027	0.068	0.694	3.71962916280675e-107
chr8:3393647-3393670	0.117	0.109	0.653	1.32058400027472e-31
chr8:3393682-3393748	0.06	0.146	0.751	1.17126586490698e-76
chr8:33963108-33963226	0.758	0.023	0.368	3.43360172422421e-84
chr8:3432568-3432601	0.588	0.302	0.031	2.07463977221531e-47
chr8:3432735-3432779	0.709	0.344	0.103	3.65119325868343e-97
chr8:3432824-3432847	0.637	0.415	0.116	4.37287289175109e-105
chr8:34383771-34383904	0.935	0.025	0.033	2.85732223768502e-237
chr8:34496156-34496169	1	NA	NA	NA
chr8:3451928-3451961	0.329	0.179	0.025	1.37344966912542e-67
chr8:3451994-3452018	0.242	0.188	0.048	3.16078681227454e-23
chr8:3452056-3452063	0.354	0.063	0.087	4.34387862404812e-44
chr8:34778669-34778806	0.637	0.138	0.567	3.60286759342385e-82
chr8:34937385-34937687	0.652	0.467	NA	0.00947884057625172
chr8:34943844-34943880	0.605	0.361	0.667	2.22711415414408e-69
chr8:34952391-34952552	0.761	0.42	0.445	2.18272315467664e-48
chr8:3495908-3495965	0.117	0.169	0.023	6.21270752496316e-26
chr8:3495973-3496019	0.085	0.169	0.045	4.46645960825059e-51
chr8:3496063-3496103	0.167	0.112	0.081	5.41512989658029e-05
chr8:3496170-3496208	0.122	0.029	0.147	5.12201532605039e-10
chr8:3496274-3496341	0.222	0.125	0.095	8.37719052697186e-07
chr8:3496358-3496385	0.121	0.076	0.066	0.00326763750905952
chr8:3496528-3496553	0.26	0.124	0.097	2.00967216678339e-22
chr8:35030477-35030577	0.156	0.283	0.172	2.36002995549649e-14
chr8:35271064-35271072	0.59	0.216	0.68	4.23544396477427e-107
chr8:3541336-3541473	0.597	0.228	0.001	1.06262215593016e-83
chr8:35953576-35953725	0.714	0.346	0.463	3.6608051895419e-26
chr8:3597918-3597948	0.445	0.292	0.056	2.70566882349853e-56
chr8:35985647-35985703	0.352	0.295	0.149	4.60821890579166e-18
chr8:36286561-36286574	0.597	0.232	0.194	1.26302936487149e-73
chr8:36447700-36447717	0.621	0.332	0.148	4.12364233451976e-108
chr8:36489686-36489700	0.657	0.069	0.382	1.77882991443061e-99
chr8:36518130-36518150	0.564	0.101	0.71	3.26322480646929e-134
chr8:36697072-36697123	0.476	0.204	0.584	3.18159852415887e-51
chr8:36741880-36741922	0.47	NA	0.613	4.59146230372493e-19
chr8:3679030-3679103	0.182	0.145	0.059	1.09618903644959e-16
chr8:3679124-3679197	0.157	0.228	0.094	9.41195795034484e-28
chr8:3679236-3679286	0.065	0.125	0.232	1.10175971502253e-26
chr8:37166274-37166304	0.271	0.055	0.042	1.414616610087e-50
chr8:37184515-37184523	0.573	0.125	0.585	1.12720514317704e-100
chr8:37185525-37185588	0.508	0.143	0.588	4.62785212232808e-43
chr8:37210062-37210089	0.276	0.058	0.145	3.39062108397494e-22
chr8:37210216-37210249	0.352	0.158	0.09	3.98365940612759e-40
chr8:37280442-37280451	0.654	0.252	0.007	2.28698123372365e-147
chr8:37280494-37280551	0.636	0.079	0.051	3.87666871460441e-105
chr8:37354345-37354369	0.508	0.087	0.644	1.3978288990381e-106
chr8:37642670-37642709	0.318	0.168	0.198	1.4644504538093e-08
chr8:37645764-37645801	0.541	0.081	0.183	1.67963856802605e-85
chr8:37647587-37647595	0.639	0.145	0.13	5.64410567704641e-141
chr8:37693014-37693058	0.762	0.107	0.087	3.63931859549945e-82
chr8:37743106-37743112	0.524	0.236	0.673	1.59561072260771e-88
chr8:38056564-38056596	0.52	0.442	0.679	1.25429123953613e-20
chr8:38056647-38056682	0.516	0.502	0.565	7.01633195874737e-05
chr8:38056778-38056808	0.401	0.41	0.755	4.79266735480788e-44
chr8:41444441-41444466	0.387	0.244	0.066	1.49521372651693e-41
chr8:42219299-42219328	0.76	NA	NA	NA
chr8:4238972-4238992	0.775	NA	NA	NA
chr8:44265845-44265893	0.443	0.123	0.227	9.1599073576564e-45
chr8:44266136-44266221	0.644	0.791	0.436	5.07307469288643e-56
chr8:44268586-44268606	0.532	0.21	0.105	5.0830356941052e-105
chr8:44381106-44381180	0.538	0.155	0.048	3.7432607071862e-75
chr8:44381223-44381233	0.511	0.212	0.147	1.55736515300119e-65
chr8:44381393-44381408	0.426	0.208	0.003	5.10003331861687e-81
chr8:44381566-44381602	0.501	0.194	0.096	2.5915053197437e-86
chr8:44381629-44381670	0.567	0.476	0.063	1.55210802310522e-32
chr8:44381710-44381750	0.408	NA	0.018	1.55690251594907e-76
chr8:44390980-44391056	0.671	0.149	0.42	1.229866066286e-36
chr8:44391228-44391313	0.591	0.471	0.294	1.28780556879716e-44
chr8:44392348-44392372	NA	0.657	0.261	1.64500953501074e-56
chr8:44411534-44411581	0.496	0.022	0.104	7.01213651819527e-64
chr8:44415774-44415843	0.457	0.101	0.045	4.81343800683723e-57
chr8:44417318-44417364	0.486	0.178	0.28	4.213349944939e-30
chr8:45536260-45536291	0.584	0.058	0.393	1.10841158311016e-81
chr8:45653776-45653800	0.605	0.193	0.076	1.13454019472563e-73
chr8:45773372-45773438	0.579	0.108	0.398	1.20474995916065e-41
chr8:45820246-45820272	0.793	0.098	0.338	7.75784743684615e-82
chr8:45886383-45886404	0.505	0.547	0.491	4.17930427026246e-14
chr8:46036985-46036996	0.571	0.319	0.06	1.54746707242571e-45
chr8:46037029-46037042	0.617	0.385	0.015	7.44685030349827e-115
chr8:46037188-46037236	0.684	0.252	0.107	2.26994164163743e-100
chr8:46037354-46037376	0.59	0.247	0.497	3.36282913771174e-53
chr8:46037461-46037509	0.543	0.27	0.058	6.47324852824017e-77
chr8:46037575-46037600	0.581	0.184	0.009	1.23881338049532e-74
chr8:46103282-46103316	0.687	0.111	0.056	2.98039158453404e-170
chr8:46103438-46103448	0.569	0.358	0.102	4.58128306417899e-77
chr8:46107436-46107448	0.592	0.009	0.558	3.95174517508776e-158
chr8:46108608-46108623	0.502	0.298	0.1	1.36784380748906e-55
chr8:46108713-46108736	0.561	0.184	0.085	1.42983910664534e-108
chr8:46108779-46108791	0.511	0.287	0.107	2.16249415457732e-48
chr8:46108824-46108834	0.53	0.185	0.12	9.0987111195329e-66
chr8:46108884-46108912	0.512	0.246	0.047	1.44628809321491e-79
chr8:46109031-46109061	0.643	0.205	0.086	1.892682841633e-107
chr8:46109199-46109205	0.663	0.199	0.151	3.30290996814287e-73
chr8:46110128-46110138	0.625	0.123	0.209	1.08751408852081e-51
chr8:46110561-46110591	0.524	0.266	0.075	2.91901452016676e-70
chr8:46111161-46111184	0.508	0.251	0.089	1.71062594348166e-55
chr8:46111191-46111212	0.551	0.25	0	1.16525802085784e-125
chr8:46111236-46111362	0.574	0.208	0.062	2.20519159111419e-92
chr8:46111380-46111404	0.611	0.092	0.047	5.13980577134113e-65
chr8:46112010-46112022	0.602	0.279	0.04	7.02236797173071e-96
chr8:46112076-46112093	0.607	0.263	0.007	1.07603822913108e-147
chr8:46125174-46125197	0.737	0.115	0.066	1.40680429595101e-119
chr8:46125922-46125946	0.661	0.228	0.113	1.84829805242222e-75
chr8:46129636-46129656	0.436	0.166	0.028	9.32565893225665e-107
chr8:46129661-46129698	0.405	0.268	0.059	3.96714140877242e-59
chr8:46129726-46129737	0.369	0.268	0.119	3.70664985471881e-33
chr8:46136609-46136623	0.322	0.228	0.216	8.7915450013984e-10
chr8:46136681-46136702	0.374	0.273	0.096	4.19886709349596e-51
chr8:46136711-46136731	0.403	0.212	0.039	4.13147561088847e-39
chr8:46136763-46136826	0.248	0.209	0.442	0.0926309878678455
chr8:46136829-46136877	0.414	0.232	0.115	1.37878681214274e-62
chr8:46275428-46275442	0.617	0.238	0.306	2.39094004433486e-48
chr8:46819639-46819647	0.642	0.184	0.384	6.67773763867919e-67
chr8:47302412-47302437	0.575	0.197	0.38	1.08212948531332e-39
chr8:47314816-47314864	0.653	NA	0.085	1.84696727430294e-66
chr8:47407921-47407932	0.643	0.102	0.222	1.40028307658445e-94
chr8:47425992-47426001	0.491	0.121	0.547	1.27306269547211e-103
chr8:47574370-47574392	0.576	0.362	0.343	3.18054945823543e-11
chr8:47676270-47676290	0.652	0.391	0.032	5.34449891427122e-53
chr8:48271805-48271815	0.575	0.124	0.012	1.57264351314695e-132
chr8:48278827-48278865	0.368	0.279	0.241	7.87379300043645e-13
chr8:48328508-48328552	0.54	0.147	0.373	3.58222735053686e-39
chr8:48405461-48405486	0.639	0.148	0.122	3.18008520816825e-108
chr8:48412664-48412818	0.58	0.481	0.143	9.19570542684361e-39
chr8:48421715-48421829	0.425	0.559	0.238	3.71354065259792e-60
chr8:48421997-48422015	0.512	1	0.047	1.41008941247181e-145
chr8:48423352-48423612	0.804	0.256	0.497	1.37045607371196e-57
chr8:48431300-48431318	0.473	0.125	0.651	1.65456088417084e-90
chr8:48436027-48436039	0.764	0.427	0.168	6.48571572551377e-130
chr8:48566076-48566080	0.515	0.047	0.035	4.48142807694621e-38
chr8:48717985-48717991	0.54	NA	0.168	3.60708782696201e-32
chr8:48718147-48718157	0.489	0.408	0.111	3.02611108303328e-35
chr8:48864430-48864453	0.619	0.472	0.054	7.43515522837098e-98
chr8:48905834-48906058	1	0.241	0.003	1.21253698304948e-54
chr8:48986396-48986437	0.656	0.266	0.014	7.77661517348655e-157
chr8:48994264-48994281	0.663	0.319	0.244	3.0015384834359e-77
chr8:49017818-49017878	0.604	0.318	0.6	2.9352652594838e-47
chr8:49042591-49042635	0.609	0.149	0.425	6.8168489735454e-51
chr8:49060200-49060244	0.329	0	0.644	6.86223297826877e-31
chr8:49060264-49060289	0.181	NA	0.707	6.46897452464882e-29
chr8:49063474-49063547	0.704	0.124	0.162	5.48020792426679e-36
chr8:49073740-49073760	0.329	0.3	0.767	2.02844303233638e-93
chr8:49080359-49080390	0.323	0.099	0.764	2.36902514514301e-127
chr8:49080404-49080434	0.529	0.17	0.582	2.44000537242302e-106
chr8:49214499-49214518	0.632	0.311	0.095	9.61257668696207e-62
chr8:49217770-49217807	0.645	0.254	0.111	1.23756793918275e-67
chr8:49220920-49220932	0.538	0.154	0.081	1.49195861203345e-83
chr8:49222692-49222736	0.521	0.292	0.088	1.49314723956294e-78
