	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg21016417	0.0337962160658244	0.761310388564723	3.70101328387593	0.000545559203142069	0.0446771670522203	-1.4827581692635	0.744412280531811	0.778208496597636	0.0337962160658245	2	209012800	R	II	LOC100507443	Body	opensea	Body-opensea		rs533687673;rs563553784	41;27
cg16316345	0.0281308874388956	0.716971174906554	3.70099791437672	0.000545584962897765	0.0446771670522203	-1.48280336448603	0.702905731187107	0.731036618626002	0.0281308874388954	15	64701816	F	II	TRIP4	ExonBnd	opensea	ExonBnd-opensea		rs201377022	42
cg01331196	0.038772214493439	0.412328812722541	3.70096851338167	0.000545634243127644	0.0446771670522203	-1.48288982013375	0.392942705475821	0.43171491996926	0.0387722144934389	3	11287078	F	II	HRH1	5'UTR	opensea	5'UTR-opensea			
cg11628370	0.0312113041562594	0.324281074824898	3.70091770521998	0.000545719414873066	0.0446792339041827	-1.48303922411954	0.308675422746768	0.339886726903028	0.0312113041562596	1	247609300	R	II	NLRP3	Body	opensea	Body-opensea			
cg13008897	0.0253027139073645	0.660256891920503	3.70081182564906	0.000545896946031841	0.0446852200068118	-1.48335056469318	0.647605534966821	0.672908248874185	0.0253027139073645	15	67254805	F	II		IGR	opensea	IGR-opensea		rs146780392;rs140635449;rs12595715	9;26;30
cg24146578	0.0279581303075553	0.587175198455387	3.70075265112311	0.000545996189722531	0.0446852200068118	-1.48352456615916	0.573196133301609	0.601154263609164	0.0279581303075552	16	1772597	R	II	MAPK8IP3	Body	opensea	Body-opensea		rs536292132	29
cg22727701	0.0322601241857732	0.686290431185371	3.70065059323385	0.000546167395319602	0.0446852200068118	-1.48382466160078	0.670160369092485	0.702420493278258	0.0322601241857732	11	8720635	R	II	ST5	Body	opensea	Body-opensea		rs2270958;rs530933564	22;2
cg06098705	0.0188009841142716	0.894024148131247	3.70059506210315	0.000546260572338949	0.0446852200068118	-1.48398794579571	0.884623656074111	0.903424640188383	0.0188009841142714	3	9984577	R	II	CRELD1	Body	shelf	Body-shelf	chr3:9987895-9989619	rs201445262	29
cg16505704	0.0341303031374314	0.565713471612911	3.70051754319059	0.000546390668707847	0.0446852200068118	-1.48421588074874	0.548648320044196	0.582778623181627	0.0341303031374313	13	80378331	R	II		IGR	opensea	IGR-opensea		rs192025094;rs574200835	2;1
cg20476021	0.0332927255420409	0.714747319108631	3.700510704655	0.000546402146930278	0.0446852200068118	-1.48423598850409	0.698100956337611	0.731393681879651	0.0332927255420408	11	123105467	R	II		IGR	opensea	IGR-opensea		rs184834256	28
cg26141335	0.020906045718309	0.148013988178042	3.70040780705604	0.000546574884594175	0.0446852200068118	-1.48453854195577	0.137560965318887	0.158467011037196	0.020906045718309	7	130125976	R	II	MEST	TSS1500	shore	TSS1500-shore	chr7:130126017-130126801	rs3800564	30
cg08701429	0.0383648294574496	0.593695127306799	3.70040739937984	0.000546575569078201	0.0446852200068118	-1.48453974065116	0.574512712578074	0.612877542035524	0.0383648294574497	17	15394553	F	II		IGR	opensea	IGR-opensea		rs150441975;rs544099270	24;46
cg00778948	0.0187681561744898	0.923573473124565	3.70037488989192	0.000546630154813322	0.0446852200068118	-1.48463532846258	0.91418939503732	0.93295755121181	0.0187681561744899	4	102203637	R	II	PPP3CA	Body	opensea	Body-opensea			
cg04898604	0.0157280607493243	0.925473186662891	3.70031269711467	0.000546734595479142	0.0446852200068118	-1.48481819288756	0.917609156288228	0.933337217037553	0.0157280607493243	9	3465251	R	II	RFX3	5'UTR	opensea	5'UTR-opensea		rs186314789;rs558537910	23;1
cg03469804	0.0220244031476514	0.29522575859787	3.70029741513606	0.000546760261519978	0.0446852200068118	-1.48486312598031	0.284213557024045	0.306237960171696	0.0220244031476514	17	72732432	F	II	RAB37	TSS1500	shore	TSS1500-shore	chr17:72732848-72733545		
cg19683419	0.0302911784603616	0.341918343021335	3.70029659784393	0.00054676163419243	0.0446852200068118	-1.4848655290342	0.326772753791154	0.357063932251515	0.0302911784603614	3	136742394	R	II		IGR	opensea	IGR-opensea			
cg15645372	0.0365425418782713	0.663285069706248	3.70027447436817	0.00054679879264781	0.0446852200068118	-1.48493057776081	0.645013798767112	0.681556340645384	0.0365425418782714	17	41794726	R	II		IGR	shelf	IGR-shelf	chr17:41791110-41791476		
cg18258710	0.0255309463503615	0.309809149873342	3.70025830597207	0.000546825950520951	0.0446852200068118	-1.48497811687891	0.297043676698161	0.322574623048522	0.0255309463503614	16	57096485	R	II	NLRC5	Body	opensea	Body-opensea			
cg13857025	0.0270256090307577	0.828914370933874	3.70024446553047	0.000546849199183776	0.0446852200068118	-1.48501881113748	0.815401566418495	0.842427175449253	0.0270256090307579	12	125020460	R	II	NCOR2	TSS1500	shelf	TSS1500-shelf	chr12:125023589-125023809	rs142286865;rs67094305	21;17
cg04709771	0.0247592393301754	0.275713500489175	3.70019150430979	0.000546938170250243	0.0446852200068118	-1.48517452919647	0.263333880824088	0.288093120154263	0.0247592393301753	16	646395	F	II	RAB40C	Body	shelf	Body-shelf	chr16:649465-650057	rs560734775;rs4984672;rs543226310	4;26;45
cg02846651	0.0335590114632022	0.574456239778421	3.70014222294111	0.000547020971910211	0.0446852200068118	-1.48531942652949	0.55767673404682	0.591235745510022	0.0335590114632022	1	61546179	R	II	NFIA	TSS1500	shelf	TSS1500-shelf	chr1:61548753-61549564	rs577223480	38
cg21142547	0.0326406375010265	0.829553399796227	3.70011495885382	0.000547066785704622	0.0446852200068118	-1.48539958807393	0.813233081045713	0.84587371854674	0.0326406375010264	18	7666387	R	II	PTPRM	Body	opensea	Body-opensea		rs184370031	12
cg11651642	0.0128337498865463	0.914242827456813	3.7000841399691	0.000547118577314578	0.0446852200068118	-1.48549020099267	0.907825952513539	0.920659702400086	0.0128337498865465	16	73322265	R	II		IGR	opensea	IGR-opensea		rs72797373;rs538693802;rs558402695;rs570237217	39;37;35;30
cg21996614	0.0233966244719822	0.911878410826114	3.70008098078596	0.000547123886636433	0.0446852200068118	-1.48549948952048	0.900180098590123	0.923576723062105	0.0233966244719822	7	128071698	F	II		IGR	opensea	IGR-opensea		rs528442607;rs546795247;rs561898277	1;14;36
cg04616586	0.0276435064641616	0.758430474351507	3.7000509218144	0.000547174406205799	0.0446852200068118	-1.48558786771144	0.744608721119426	0.772252227583588	0.0276435064641614	9	99445685	F	II		IGR	shelf	IGR-shelf	chr9:99449110-99449578		
cg16773369	0.0139077601567891	0.918149939846329	3.70004873497985	0.000547178081753788	0.0446852200068118	-1.48559429733957	0.911196059767935	0.925103819924724	0.0139077601567891	11	76861747	F	II	MYO7A	Body	shelf	Body-shelf	chr11:76858728-76859181	rs77174844;rs563499659	38;42
cg19083265	0.0121852868135249	0.927305521829517	3.70002313709081	0.000547221107470687	0.0446852200068118	-1.48566955889108	0.921212878422754	0.933398165236279	0.0121852868135249	17	75300284	F	II	SEPT9	5'UTR	opensea	5'UTR-opensea		rs140781038	33
cg11280790	0.043892954677483	0.434608857470978	3.69999682173648	0.000547265342511028	0.0446852200068118	-1.4857469295915	0.412662380132237	0.45655533480972	0.0438929546774829	9	106760278	F	II		IGR	shore	IGR-shore	chr9:106761630-106762028	rs76342760	24
cg01990964	0.0349302533599104	0.58978464025373	3.69986404954323	0.000547488579526863	0.0446852200068118	-1.48613729308918	0.572319513573775	0.607249766933685	0.0349302533599105	11	88438399	F	II	GRM5	Body	opensea	Body-opensea		rs565799109;rs7103549;rs6483385	0;11;51
cg20245822	0.0160282768021106	0.940662515767098	3.69976290102641	0.000547658704623275	0.0446852200068118	-1.48643467455102	0.932648377366043	0.948676654168154	0.0160282768021108	12	104734362	R	II	TXNRD1	Body	opensea	Body-opensea			
cg26695909	0.0265566440413059	0.464274406276614	3.69971467783206	0.000547739830702207	0.0446852200068118	-1.48657645143663	0.450996084255961	0.477552728297266	0.0265566440413059	8	81639869	F	II	ZNF704	Body	opensea	Body-opensea			
cg20394269	0.0121960029737151	0.929481458750921	3.69971027380319	0.000547747240193053	0.0446852200068118	-1.48658939929327	0.923383457264063	0.935579460237779	0.0121960029737155	4	165854181	R	II		IGR	opensea	IGR-opensea			
cg00316109	0.0310435510720712	0.608211486704368	3.69966422763619	0.000547824715623428	0.0446852200068118	-1.48672477462965	0.592689711168332	0.623733262240403	0.0310435510720715	8	20248897	R	II		IGR	opensea	IGR-opensea		rs150346247;rs117530455	4;2
cg04012564	0.0239623437796662	0.890100052230357	3.69965740519576	0.000547836195682369	0.0446852200068118	-1.48674483246568	0.878118880340524	0.902081224120191	0.0239623437796664	13	104956269	F	II		IGR	opensea	IGR-opensea		rs188223604	26
cg16502747	0.0193694825386952	0.252301066462111	3.69963217500383	0.000547878652304974	0.0446852200068118	-1.48681900853633	0.242616325192763	0.261985807731458	0.0193694825386952	14	23531625	R	II	ACIN1	Body	shelf	Body-shelf	chr14:23528360-23528582		
cg08831034	0.0375775954443993	0.759362029682455	3.69963157803954	0.000547879656897133	0.0446852200068118	-1.48682076359151	0.740573231960255	0.778150827404655	0.0375775954443994	2	242138408	R	II	ANO7	Body	shore	Body-shore	chr2:242139773-242139985		
cg09788949	0.0105511501637994	0.942709580159527	3.69963031676939	0.000547881779411965	0.0446852200068118	-1.4868244716833	0.937434005077627	0.947985155241427	0.0105511501637992	19	47478621	R	II	ARHGAP35	Body	opensea	Body-opensea		rs537377079	1
cg23453858	0.0275983805729102	0.527092070354491	3.69962712321125	0.000547887153692039	0.0446852200068118	-1.48683386063355	0.513292880068037	0.540891260640947	0.02759838057291	2	150170491	R	II		IGR	opensea	IGR-opensea		rs190875151	2
cg19550400	0.0124883744525276	0.939688948058515	3.69962522449937	0.000547890348963777	0.0446852200068118	-1.48683944277854	0.933444760832251	0.945933135284779	0.0124883744525276	10	105816506	F	II	COL17A1	Body	opensea	Body-opensea		rs374675677;rs539198610;rs140118830	5;28;38
cg23688299	0.0334907969987163	0.395420533418129	3.69955100050691	0.000548015271784935	0.0446868676924513	-1.48705765740116	0.378675134918771	0.412165931917488	0.0334907969987162	12	89848266	R	II	POC1B	Body	opensea	Body-opensea			
cg18445263	0.0231090968892513	0.862332078355209	3.69954199451203	0.000548030431200548	0.0446868676924513	-1.48708413438404	0.850777529910583	0.873886626799835	0.0231090968892516	7	132335670	R	II	FLJ40288	Body	opensea	Body-opensea		rs558131610;rs578037203	41;1
cg07838035	0.0276828642512158	0.277444608844263	3.69945787809319	0.000548172040301741	0.0446890179167256	-1.48733142891299	0.263603176718655	0.291286040969871	0.0276828642512157	1	223423858	F	II	SUSD4	Body	opensea	Body-opensea		rs545792300;rs144789273	0;20
cg13989097	0.0258039879432096	0.158521075002768	3.69942661865418	0.000548224674188912	0.0446890179167256	-1.4874233279828	0.145619081031164	0.171423068974373	0.0258039879432096	16	57927988	F	II	CNGB1	Body	opensea	Body-opensea		rs118144389;rs571576900;rs538891269	1;11;19
cg11586089	0.0335712433109326	0.738299694338781	3.69941951879809	0.000548236629430917	0.0446890179167256	-1.48744420066297	0.721514072683314	0.755085315994247	0.0335712433109328	14	66644923	F	II		IGR	opensea	IGR-opensea		rs185634681;rs528861107;rs541757252	0;9;14
cg25331550	0.0130388200330686	0.893989941206037	3.69924511634945	0.000548530379259934	0.044703522063847	-1.48795691478088	0.887470531189503	0.900509351222571	0.0130388200330684	4	3471397	F	I	DOK7	Body	shelf	Body-shelf	chr4:3475058-3475360	rs529951856;rs61504107	6;14
cg16260720	0.0250860449630006	0.890892853884568	3.69924267752588	0.000548534488094441	0.044703522063847	-1.48796408441938	0.878349831403068	0.903435876366068	0.0250860449630005	9	74393264	F	II		IGR	opensea	IGR-opensea			
cg26565120	0.0249034620216292	0.652013761064573	3.69917321710563	0.000548651524697922	0.0447070763784083	-1.48816828262229	0.639562030053759	0.664465492075388	0.0249034620216293	8	29635776	F	II		IGR	opensea	IGR-opensea		rs566029489;rs534730110	8;13
cg08663466	0.0233565900537713	0.909169258462703	3.69914561733131	0.000548698035301741	0.0447070763784083	-1.48824941922969	0.897490963435817	0.920847553489589	0.0233565900537712	16	1725175	F	II	CRAMP1L	3'UTR	shelf	3'UTR-shelf	chr16:1727939-1728858	rs181891895;rs150958488;rs140762461	0;34;35
cg21249138	0.0290551547264454	0.546590855407724	3.69906629696131	0.000548831725521175	0.044713082577243	-1.48848259988833	0.532063278044502	0.561118432770947	0.0290551547264455	12	125179587	R	II		IGR	opensea	IGR-opensea		rs10773100;rs369365084	10;9
cg14499387	0.0333545671930389	0.768835636726084	3.69894052960465	0.000549043763740181	0.0447254697436287	-1.48885231650813	0.752158353129565	0.785512920322604	0.033354567193039	22	31668786	R	II	LIMK2	Body	shelf	Body-shelf	chr22:31672479-31672688	rs146984577;rs112637490	44;39
cg22403983	0.0306177085664747	0.840809268704653	3.69884858984661	0.000549198819875721	0.0447332129120842	-1.48912258612656	0.825500414421416	0.85611812298789	0.0306177085664747	11	74295300	F	II		IGR	opensea	IGR-opensea		rs146560622;rs560210135	0;47
cg18780100	0.0266762609144992	0.519705206566766	3.69869754821261	0.000549453642416482	0.0447416018294099	-1.48956658569282	0.506367076109517	0.533043337024016	0.026676260914499	17	78682785	R	II	RPTOR	Body	opensea	Body-opensea		rs12453034	31
cg19957503	0.0252582439385443	0.798176040729954	3.69869632355277	0.000549455709005536	0.0447416018294099	-1.4895701856417	0.785546918760682	0.810805162699226	0.0252582439385444	13	113419790	F	II	ATP11A	Body	shore	Body-shore	chr13:113420152-113420384	rs568046553;rs535563854;rs138389497;rs565303150	2;44;45;48
cg00690343	0.0289848217585278	0.472060805031553	3.69868083145375	0.000549481852257832	0.0447416018294099	-1.48961572538412	0.457568394152289	0.486553215910817	0.028984821758528	1	94020824	F	II		IGR	opensea	IGR-opensea		rs115967637;rs570783380	0;11
cg04940329	0.0240220156054715	0.240915563006592	3.69853374028751	0.000549730131283736	0.0447569297057662	-1.49004810134733	0.228904555203856	0.252926570809328	0.0240220156054716	17	39093054	R	II	KRT23	5'UTR	opensea	5'UTR-opensea		rs558430356;rs187747979	7;4
cg09589462	0.0219491439939751	0.303291598233301	3.69830016623982	0.000550124608328438	0.0447770896323172	-1.49073467478952	0.292317026236313	0.314266170230288	0.021949143993975	20	46369576	R	II	SULF2	Body	opensea	Body-opensea		rs577361027;rs544928138;rs562849895	41;24;16
cg13329460	0.0219159440203155	0.244103305238648	3.69824436137878	0.000550218895895322	0.0447770896323172	-1.49089870540421	0.23314533322849	0.255061277248806	0.0219159440203155	8	101835917	R	II		IGR	opensea	IGR-opensea		rs143185287	15
cg00891657	0.031175411835936	0.267858454968543	3.69821267953055	0.000550272432264435	0.0447770896323172	-1.49099182916542	0.252270749050575	0.283446160886511	0.0311754118359361	18	46754833	R	II	DYM	Body	opensea	Body-opensea		rs566090518;rs528871515;rs149574607	19;2;1
cg10097415	0.0134424146087919	0.913584315652549	3.69820361729403	0.000550287746660696	0.0447770896323172	-1.49101846608809	0.906863108348153	0.920305522956944	0.0134424146087918	14	100601766	F	II	EVL	Body	opensea	Body-opensea		rs147033531;rs560552620;rs528159762;rs544745927	0;14;42;49
cg00925516	0.0239365989026669	0.718323719082226	3.69818290515132	0.000550322749927484	0.0447770896323172	-1.49107934581648	0.706355419630893	0.73029201853356	0.023936598902667	6	39234947	F	II		IGR	opensea	IGR-opensea			
cg22138802	0.0303702016631429	0.837537901575183	3.69817381523274	0.000550338112453083	0.0447770896323172	-1.49110606398516	0.822352800743611	0.852723002406754	0.0303702016631426	1	74174749	R	II		IGR	opensea	IGR-opensea			
cg20427171	0.0323261135238313	0.558307469041087	3.69812923552187	0.000550413460887332	0.0447783333335237	-1.49123709743462	0.542144412279172	0.574470525803003	0.0323261135238311	8	144701005	R	II	TSTA3	TSS1500	shore	TSS1500-shore	chr8:144699233-144700481	rs35896889;rs541588677	15;14
cg19421214	0.0278951074092133	0.257594853539637	3.69799276955704	0.000550644176633494	0.0447805448738385	-1.49163820727079	0.243647299835031	0.271542407244244	0.0278951074092132	1	182097885	F	II		IGR	opensea	IGR-opensea		rs148166448;rs538552667;rs115341679	0;1;16
cg23202167	0.0412887314083602	0.407496905016361	3.69798885793324	0.000550650791176223	0.0447805448738385	-1.49164970445307	0.386852539312181	0.428141270720541	0.0412887314083602	19	42442230	F	II		IGR	shore	IGR-shore	chr19:42444020-42445255	rs556440194;rs571465409	11;25
cg11266493	0.0184737381927156	0.886423694876572	3.6979790502064	0.000550667376344807	0.0447805448738385	-1.49167853163883	0.877186825780214	0.89566056397293	0.0184737381927154	1	223911279	R	II	CAPN2	Body	opensea	Body-opensea		rs555465109;rs74147528	17;14
cg16489468	0.0425652525963051	0.796552241121971	3.69797104885778	0.000550680907227296	0.0447805448738385	-1.49170204942793	0.775269614823818	0.817834867420123	0.0425652525963047	8	129336547	R	II		IGR	opensea	IGR-opensea		rs530454671;rs549233672;rs116918738	47;20;13
cg16924433	0.0176939794593072	0.90568261388713	3.69789490881597	0.000550809681736725	0.0447861315744157	-1.49192584095363	0.896835624157476	0.914529603616783	0.0176939794593073	13	44735951	F	II	SMIM2	TSS1500	opensea	TSS1500-opensea			
cg03791150	0.0227425618160759	0.873246473586604	3.69781506310279	0.000550944754644938	0.0447922291211484	-1.49216052144613	0.861875192678566	0.884617754494642	0.0227425618160759	3	42542232	F	II		IGR	shore	IGR-shore	chr3:42542820-42544524	rs874531	50
cg27553626	0.02620283694867	0.897910000892637	3.69753010470182	0.000551427070617429	0.0448265533860289	-1.49299804075965	0.884808582418302	0.911011419366972	0.0262028369486699	1	28158892	F	II	PPP1R8	5'UTR	shore	5'UTR-shore	chr1:28157221-28157788	rs575473227;rs140570266	16;42
cg05354577	0.0232553537525906	0.85480116691242	3.69745816236464	0.000551548903120481	0.0448315689757529	-1.49320948027117	0.843173490036125	0.866428843788715	0.0232553537525907	6	41003024	R	II	UNC5CL	5'UTR	opensea	5'UTR-opensea		rs565855295;rs528600287	30;27
cg12831439	0.0402838020901422	0.589912795686776	3.69729642473077	0.000551822896008919	0.0448489501815913	-1.49368482095642	0.569770894641705	0.610054696731847	0.0402838020901419	8	55377905	F	II		IGR	shore	IGR-shore	chr8:55378928-55380186	rs138505501	37
cg11949866	-0.0150704017346129	0.112757018843875	-3.69713227920111	0.00055210110160256	0.0448666699450134	-1.49416722642345	0.120292219711182	0.105221817976569	-0.0150704017346129	1	10754891	R	I	CASZ1	5'UTR	shore	5'UTR-shore	chr1:10755226-10755521	rs528856249;rs550202855	27;16
cg19342711	0.0250983054641385	0.294639530332347	3.69708218345287	0.000552186034275418	0.044868681172892	-1.4943144498654	0.282090377600278	0.307188683064416	0.0250983054641385	17	16977681	R	II	MPRIP	Body	opensea	Body-opensea		rs570222265;rs538639681;rs148583433	48;2;1
cg12424898	0.0295284937570044	0.838941399203739	3.69703826707859	0.000552260500712548	0.044869841605844	-1.49444351218846	0.824177152325236	0.853705646082241	0.0295284937570043	11	1325852	F	II	TOLLIP	Body	opensea	Body-opensea			
cg02198513	0.0418435422458547	0.290590523401209	3.69683617030577	0.00055260330870902	0.0448802917588975	-1.49503742715352	0.269668752278282	0.311512294524137	0.0418435422458547	4	38987121	R	II	TMEM156	Body	opensea	Body-opensea		rs191660207;rs182283704;rs560974837	28;20;1
cg06598461	0.0330208167671511	0.84379023306657	3.69681373158469	0.000552641383135662	0.0448802917588975	-1.49510336816243	0.827279824682994	0.860300641450145	0.0330208167671512	8	49890873	F	II		IGR	island	IGR-island	chr8:49890386-49890874	rs544882978;rs562783993	18;20
cg08766751	0.0134370120760728	0.926803518908034	3.69679967891423	0.000552665229242733	0.0448802917588975	-1.49514466484317	0.920085012869997	0.93352202494607	0.013437012076073	3	171012671	F	II	TNIK	Body	opensea	Body-opensea		rs190676283	10
cg09507718	0.0252486044158161	0.269867789602687	3.69677467749672	0.000552707656822269	0.0448802917588975	-1.49521813646542	0.257243487394779	0.282492091810595	0.0252486044158161	16	53127703	R	II	CHD9	5'UTR	opensea	5'UTR-opensea		rs187202391	46
cg07484065	0.0345731405603384	0.814687641438161	3.6967242746391	0.000552793200328074	0.0448802917588975	-1.49536625440774	0.797401071157992	0.83197421171833	0.0345731405603383	4	7906254	R	II	AFAP1	5'UTR	opensea	5'UTR-opensea		rs149418395;rs534158512;rs116369772;rs575482898;rs143840028	27;25;22;14;1
cg11559886	0.0176364250102152	0.903848322481433	3.69670621412501	0.000552823855645085	0.0448802917588975	-1.49541932822946	0.895030109976325	0.912666534986541	0.0176364250102155	11	57196541	F	II	SLC43A3	TSS1500	shore	TSS1500-shore	chr11:57194340-57194650	rs192546167;rs143404536;rs550775633	10;39;48
cg07451531	0.0222205230171397	0.338867530448172	3.69668654664759	0.000552857240424456	0.0448802917588975	-1.49547712421441	0.327757268939602	0.349977791956742	0.0222205230171398	11	67040865	F	II	ADRBK1	Body	opensea	Body-opensea		rs533584229;rs552235500	22;48
cg11716789	0.033811320292993	0.45364320636707	3.69667499299367	0.000552876853205821	0.0448802917588975	-1.49551107636857	0.436737546220574	0.470548866513567	0.0338113202929928	8	57026633	R	II	MOS	TSS200	shore	TSS200-shore	chr8:57025546-57026543	rs545892339;rs376730280	35;29
cg26540515	0.0260195052258528	0.499731746657932	3.69664314739703	0.000552930915814662	0.0448802917588975	-1.49560465914776	0.486721994045005	0.512741499270858	0.0260195052258527	20	896349	F	II	ANGPT4	Body	opensea	Body-opensea		rs566374948;rs535381473	1;39
cg13080029	0.0235945181631588	0.872157588918025	3.69660590223039	0.000552994151430209	0.0448805381806511	-1.49571410875116	0.860360329836445	0.883954847999604	0.0235945181631591	1	34639624	R	II	C1orf94	5'UTR	shelf	5'UTR-shelf	chr1:34642382-34643024	rs139038721	1
cg24878319	0.0302173488354008	0.442210623979157	3.69652639805287	0.000553129158496458	0.0448866088250296	-1.49594773969843	0.427101949561457	0.457319298396858	0.0302173488354005	13	74039134	R	II		IGR	opensea	IGR-opensea		rs548016051;rs183998186;rs143328958	41;39;1
cg13801687	0.0316200931835606	0.617618179407555	3.6964538045214	0.000553252458139336	0.0448904573865762	-1.4961610605601	0.601808132815774	0.633428225999335	0.0316200931835607	2	27426245	F	II	SLC5A6	Body	opensea	Body-opensea		rs367991084;rs200000452;rs371761669;rs144279157	1;11;16;32
cg21978242	0.035445215207457	0.50153299726748	3.69642757839299	0.000553297009535857	0.0448904573865762	-1.49623812718324	0.483810389663752	0.519255604871209	0.035445215207457	4	54367835	R	II	LNX1-AS1	Body	opensea	Body-opensea		rs547033462;rs7666978;rs528270995	50;25;1
cg14942952	0.0240061805492219	0.340419804562344	3.69627511509756	0.000553556073379874	0.0449019063371371	-1.49668614115293	0.328416714287733	0.352422894836955	0.0240061805492218	22	44576268	R	II	PARVG	TSS1500	opensea	TSS1500-opensea		rs144405961	1
cg02336817	-0.0411879318887988	0.845703229125312	-3.69627364015507	0.000553558580153431	0.0449019063371371	-1.49669047522634	0.866297195069711	0.825109263180913	-0.0411879318887988	16	53818032	R	II	FTO	Body	opensea	Body-opensea			
cg12171159	-0.0124146592611489	0.0961159539297995	-3.69618506925095	0.000553709132914528	0.0449092322066473	-1.49695073634056	0.102323283560374	0.089908624299225	-0.0124146592611489	11	72504902	F	I	STARD10	TSS200	island	TSS200-island	chr11:72504665-72505127	rs138114208	13
cg05708963	0.0277735685909323	0.339747393823945	3.69593450237019	0.000554135259235163	0.0449389047696152	-1.49768699546057	0.325860609528479	0.353634178119411	0.0277735685909323	5	14583002	R	II	FAM105A	Body	shore	Body-shore	chr5:14581497-14582569	rs152765;rs114415896;rs532378232	49;33;7
cg11503550	0.0229536894877126	0.408771274975364	3.69583299571753	0.000554307976003497	0.0449480222682113	-1.49798525195809	0.397294430231508	0.42024811971922	0.0229536894877125	14	75867017	R	II		IGR	opensea	IGR-opensea		rs575368081;rs114803279	43;1
cg24548817	0.0268273165550374	0.34699618725554	3.6956573660761	0.000554606937435545	0.0449673736653014	-1.49850129280466	0.333582528978022	0.360409845533059	0.0268273165550373	21	45774294	F	II	TRPM2	Body	opensea	Body-opensea		rs113137036;rs572256266	2;34
cg20834081	0.0264361947482878	0.228335449570721	3.69543870326942	0.000554979367376483	0.0449926770119025	-1.499143755882	0.215117352196577	0.241553546944865	0.0264361947482879	13	94810053	F	II	GPC6-AS1	Body	opensea	Body-opensea		rs541827187	11
cg03686481	0.0145816775240047	0.907180542187977	3.69536224016646	0.000555109657181704	0.0449938285970643	-1.499368410544	0.899889703425975	0.914471380949979	0.0145816775240046	3	194411417	F	II		IGR	shelf	IGR-shelf	chr3:194406440-194409045	rs554552291	1
cg00176928	0.0283963035187683	0.450689794994368	3.69535953025022	0.000555114275299918	0.0449938285970643	-1.49937637244498	0.436491643234984	0.464887946753752	0.0283963035187682	3	72741323	R	II		IGR	opensea	IGR-opensea		rs566125712	10
cg16135936	0.0338006536176604	0.563331968011417	3.69517237831378	0.000555433300507168	0.0450104115890769	-1.49992622843973	0.546431641202587	0.580232294820247	0.0338006536176605	14	98629292	F	II		IGR	opensea	IGR-opensea		rs191676433;rs147888235	16;23
cg06220449	0.0240136752999205	0.373697876076985	3.69507990922891	0.000555590991233574	0.0450104115890769	-1.50019789861987	0.361691038427025	0.385704713726946	0.0240136752999205	1	18964400	F	I	PAX7	Body	island	Body-island	chr1:18964180-18964401	rs548434314;rs566637145;rs534136290	1;2;47
cg26090940	0.0252264594316417	0.4252579989881	3.69507480914511	0.000555599689833088	0.0450104115890769	-1.50021288233483	0.412644769272279	0.43787122870392	0.0252264594316419	12	60130454	R	II	SLC16A7	Body	opensea	Body-opensea		rs533807326;rs12231693	36;33
cg03929563	0.0149357868056966	0.912756923154649	3.6950531028804	0.00055563671306028	0.0450104115890769	-1.50027665380089	0.905289029751801	0.920224816557497	0.0149357868056967	17	74513794	R	II		IGR	opensea	IGR-opensea		rs114023247;rs565110362;rs572205676;rs541336273	38;34;33;17
cg26402346	0.0237774494538544	0.316882389264559	3.69504952846658	0.000555642809975876	0.0450104115890769	-1.50028715515496	0.304993664537632	0.328771113991486	0.0237774494538544	12	101864876	R	II		IGR	opensea	IGR-opensea		rs77580089;rs147886114;rs117615016	45;15;2
cg24267844	0.0417426766589937	0.834053389879176	3.69499660226724	0.00055573309427158	0.0450104115890769	-1.50044264760806	0.813182051549679	0.854924728208672	0.0417426766589936	10	125189303	F	II		IGR	opensea	IGR-opensea		rs141070543;rs186879545	1;22
cg01234420	0.0238128202027931	0.287187653384206	3.69497263110784	0.000555773990169622	0.0450104115890769	-1.50051307232479	0.275281243282809	0.299094063485602	0.0238128202027931	22	46453808	F	II	LOC150381	Body	shelf	Body-shelf	chr22:46457095-46458028	rs536643372	33
cg11654413	0.028996439126075	0.774963461330504	3.69492923574384	0.000555848032000682	0.0450104115890769	-1.50064056263592	0.760465241767466	0.789461680893541	0.0289964391260751	20	1929876	F	II		IGR	shore	IGR-shore	chr20:1927718-1928118	rs549428576	1
cg15157699	0.0123969162550626	0.923097169643656	3.69491337611209	0.000555875094308397	0.0450104115890769	-1.50068715609875	0.916898711516124	0.929295627771187	0.0123969162550625	8	110662061	F	II	SYBU	TSS1500	opensea	TSS1500-opensea		rs73321020;rs550425737	0;25
